from,to
platzeck,SPD
pofalla,Deutsche Bahn
pofalla,Union
praetorius,Hochschule für Technik und Wirtschaft
praetorius,Agora Energiewende
tillich,Union
hasselfeldt,Deutsches Rotes Kreuz
hasselfeldt,Union
kampeter,BDA
kampeter,Union
kapferer,BDEW
kapferer,FDP
kempf,BDI
nemat,Telekom
nemat,McKinsey
reiche,VKU
reiche,Union
roestel,Stadtentwaesserung Dresden
roestel,EnBW
roestel,B90
schweitzer,DIHT
schweitzer,Alba
schweitzer,FDP
grothus,Buirer fuer Buir
wodtke,Union
wodtke,Gruene Zukunft Welzow
wodtke,Netzwerk Berbaubeschaedigter
herntier,Spremberger Tuche
kreuzberg,Union
priggen,B90
priggen,LEE NRW
vassiliadis,IG BCE
vassiliadis,SPD
scheidt,Verdi
scheidt,SPD
scheidt,Eon
körzell,DGB
körzell,SPD
kaiser,Greenpeace
weiger,BUND
niebert,DNR
niebert,Universität Zürich
allmendinger,WZB
allmendinger,Humboldt Universität
matthes,Öko Institut
schellnhuber,Potsdam Institut für Klimafolgenforschung
niebuhr,Universtität Kiel
wehrspohn,Frauenhofer Institut 
wehrspohn,Marthin Luter Universität Halle
lämmel,Union
lenz,Union
miersch,SPD
